"age","count"
0,1
1,3
3,22
4,41
5,38
6,17
7,8
8,22
9,55
10,15
11,25
12,38
13,16
14,30
15,33
16,23
17,20
18,28
19,38
20,55
21,177
22,533
23,860
24,1283
25,1769
26,2121
27,2582
28,3111
29,3715
30,4033
31,4378
32,4683
33,4847
34,4984
35,5125
36,5285
37,5346
38,5697
39,5944
40,6376
41,6100
42,6159
43,6204
44,6205
45,6567
46,6940
47,7353
48,7629
49,7232
50,7589
51,7116
52,6979
53,6869
54,7152
55,7175
56,7142
57,7154
58,6605
59,6666
60,6561
61,6408
62,6077
63,6174
64,5955
65,5707
66,5721
67,5351
68,5314
69,4864
70,4898
71,4741
72,4689
73,4421
74,3957
75,2968
76,2651
77,2430
78,2117
79,1724
80,1618
81,1387
82,1231
83,1111
84,1042
85,917
86,753
87,624
88,579
89,493
90,375
91,276
92,212
93,189
94,148
95,101
96,69
97,52
98,52
99,37
100,27
